Orthogroup	CDUBI_A	CDUBI_B	CDUBI_C	CGRAY_A	CGRAY_B	CGRAY_C	CHAMU_A	CHAMU_B	CHAMU_C	CNERT_A	CNERT_B	CNERT_C	CRUST_A	CRUST_B	CTENE_A	CTENE_B	CTENE_C	OINCO_A	OINCO_B	PHORS_A	PHORS_B	PLUCI_A	PLUCI_B	PPALL_A
OG0009663	28.13	31.14	28.17	23.02	22.68	12.41	2.1	1.15	1.68	1.97	2.98	6.55	4.15	5.7	5.56	5.91	9.83	21.3	20.68	1.66	12.38	4.58	8.08	4.41
OG0009664	14.46	21.56	11.53	14.33	20.68	10.94	3.69	5.13	4.89	7.21	2.72	9.2	2.35	11.3	0.4	4.91	5.39	19.33	6.43	19.96	17.19	51.15	12.79	13.65
OG0009665	11.73	18.91	22.02	17.58	30.95	42.44	10.96	45.13	7.39	24.87	33.48	31.09	3.18	26.77	7.13	18.47	23.76	56.65	27.84	18.37	25.64	13.25	27.7	19.77
OG0009666	9.15	10.35	11.25	10.49	13.93	11.25	1.1	2.18	1.29	3.27	4.68	8.68	0	8.63	3.73	4.98	4.71	11.43	8.31	7.6	4.75	1.96	4.64	11.65
OG0009667	0	3.13	1.11	6.01	19.26	5.46	1.94	2.4	3.47	0.1	1.8	0	9.32	32.99	6.87	14.67	15.52	16.25	9.66	27.38	18.47	9.43	24.48	27.76
OG0009669	45.86	94.86	93.37	71.9	120.22	136.15	5.47	14.63	0	33.82	54.05	90.14	5.87	89.42	14.18	35.31	47.38	101.97	95.07	48.34	72.86	48.17	61.04	38.09
OG0009671	148.27	232.63	211.21	86.7	119.79	101.59	5.76	16.62	7.17	99.51	158.19	203.94	19.72	125.67	32.15	125.52	144.62	163.92	191.48	8	5.09	166.47	0	6.72
OG0009672	NA	NA	NA	0	0.54	2.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0009674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.01	11.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0009678	NA	NA	NA	NA	NA	NA	0	0.87	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
